subject,R,I,A,S,E,C,true_label,Cluster
计算机科学与技术,0.1954708009201701,0.2654590086101085,0.166739897028306,0.1539965365484233,0.116340044774168,0.1019937121188241,12,19
口腔医学,0.2017300265227621,0.2510785646832663,0.1581137743047352,0.1510311056394868,0.1232493537510993,0.1147971750986503,15,19
电气工程及其自动化,0.2237978121677173,0.2459376779596842,0.1348714361555677,0.1262889637935762,0.1394825840896256,0.1296215258338289,21,5
汉语言文学,0.1634709422175502,0.3004434567407831,0.2177492683493301,0.1552403751178258,0.090578922797109,0.0725170347774016,0,27
自动化,0.2370951844610027,0.2447637774260566,0.1391316920745146,0.1161657550753997,0.1488453981145562,0.1139981928484702,3,5
法学,0.2185104794169485,0.2519912631689834,0.1288811301446563,0.139448923243892,0.1072367553288959,0.1539314486966236,27,0
临床医学,0.2128381453241241,0.2664840027300241,0.1651748180338623,0.1616025790498551,0.1000308854085127,0.0938695694536215,3,9
软件工程,0.2456731906938498,0.2398148242907852,0.1369778374233548,0.1075856157247663,0.1603124998219156,0.1096360320453279,7,26
电子信息工程,0.1856551927770454,0.2692325873345067,0.1356050710586115,0.1318891264109457,0.1289028025094328,0.1487152199094577,9,0
护理学,0.2714503049537063,0.2235066087603421,0.1468323673731092,0.1795846803005235,0.0990358360236449,0.0795902025886737,19,8
会计学,0.1412484813857245,0.18040125786441,0.0895058842994167,0.1111959197719872,0.2446296998949941,0.2330187567834673,21,16
人工智能,0.1851440165044759,0.2562801487313029,0.146256596594218,0.1418728313498755,0.145353758005164,0.1250926488149635,18,0
小学教育,0.1962534988283875,0.2613411125666156,0.1605020271171788,0.1611106632102331,0.1182613569377351,0.1025313413398497,4,19
机械设计制造及其自动化,0.2124421606508869,0.2483362584089358,0.1403271840567169,0.1371909604854031,0.1349646642142341,0.126738772183823,23,0
通信工程,0.1947884799303915,0.2672645707175968,0.149178275763647,0.1333573126113489,0.1269777563843427,0.128433604592673,6,0
数字媒体技术,0.237132677699506,0.2401234983797602,0.1381863669362475,0.123961033453198,0.1419109844167817,0.1186854391145064,24,5
中医学,0.1918747296260392,0.2457290874340333,0.1415088254120623,0.14981149583844,0.1375223649731577,0.1335534967162673,24,0
药学,0.109561759519912,0.3306280266773575,0.1710401746209874,0.1571120642443906,0.1021846673714516,0.1294733075659007,12,11
英语,0.1748783875178417,0.2459351024141752,0.1517056551381332,0.1422618318080787,0.1476734421194,0.1375455810023709,26,0
动物医学,0.2128381453241241,0.2664840027300241,0.1651748180338623,0.1616025790498551,0.1000308854085127,0.0938695694536215,1,9
数学与应用数学,0.1911350190865926,0.2709812011367351,0.1682818190667147,0.1527993830120101,0.1121294248678106,0.1046731528301369,6,19
物联网工程,0.2431819412744511,0.2427198881485198,0.1383592051506434,0.1139730667713271,0.1491212931316153,0.1126446055234429,7,26
口腔医学（专科）,0.1907511745870612,0.2576389694937377,0.1490218365322766,0.1460856699271231,0.1308027036821003,0.1256996457777008,23,0
土木工程,0.1867922307569435,0.2611753941275762,0.1609601421353368,0.1372014830985428,0.1296771656816396,0.1241935841999609,14,0
医学影像学,0.2021973679089971,0.2693072853916898,0.1674195754209144,0.1721995812534385,0.0998628996931717,0.0890132903317882,24,9
数据科学与大数据,0.1889357341528827,0.2614666726931208,0.1564334814106694,0.1573591825861184,0.1205841877277046,0.1152207414295039,17,19
金融学,0.1710694420153379,0.2534042328972978,0.1360156929846873,0.1471650357071591,0.1463047026758562,0.1460408937196615,5,0
网络与新媒体,0.2111628954284332,0.2728453641047484,0.1385157072154599,0.1359389081126835,0.1152095801419679,0.1263275449967067,25,0
信息安全,0.1856519471042926,0.2692207000414326,0.1046659810896283,0.1090254983841945,0.1404091940234297,0.1910266793570222,13,25
生物工程,0.1916504090761407,0.2576658277599514,0.1440591431226403,0.1350527463615162,0.1328991952224047,0.1386726784573465,8,0
化学,0.109561759519912,0.3306280266773575,0.1710401746209874,0.1571120642443906,0.1021846673714516,0.1294733075659007,9,11
工商管理,0.2456731906938498,0.2398148242907852,0.1369778374233548,0.1075856157247663,0.1603124998219156,0.1096360320453279,20,26
学前教育,0.2017408664095428,0.262681567114958,0.163370612932963,0.1596871820055464,0.1154587304823799,0.0970610410546096,19,19
食品科学与工程,0.1940513976086764,0.2752850343711963,0.1491848477675477,0.1426025945201826,0.1181681511763211,0.1207079745560757,16,19
车辆工程,0.2456731906938498,0.2398148242907852,0.1369778374233548,0.1075856157247663,0.1603124998219156,0.1096360320453279,19,26
麻醉学,0.2714503049537063,0.2235066087603421,0.1468323673731092,0.1795846803005235,0.0990358360236449,0.0795902025886737,5,8
电子商务,0.1956330749582061,0.2582048891665854,0.1458962769717333,0.1305775977225405,0.1332094155164272,0.1364787456645073,15,0
心理学,0.1305349481200263,0.3058581264660758,0.1618563959935346,0.2286318249657843,0.0947673879257313,0.0783513165288475,15,6
审计学,0.2714503049537063,0.2235066087603421,0.1468323673731092,0.1795846803005235,0.0990358360236449,0.0795902025886737,0,8
建筑学,0.2714503049537063,0.2235066087603421,0.1468323673731092,0.1795846803005235,0.0990358360236449,0.0795902025886737,18,8
旅游管理,0.2456731906938498,0.2398148242907852,0.1369778374233548,0.1075856157247663,0.1603124998219156,0.1096360320453279,3,26
市场营销,0.2456731906938498,0.2398148242907852,0.1369778374233548,0.1075856157247663,0.1603124998219156,0.1096360320453279,24,26
新能源科学与工程,0.1881601864348701,0.2698540491838762,0.1666833528019268,0.1478155515925757,0.1181174162061524,0.1093694437805987,17,19
统计学,0.2714503049537063,0.2235066087603421,0.1468323673731092,0.1795846803005235,0.0990358360236449,0.0795902025886737,19,8
历史学,0.1758172463705805,0.2553303066404634,0.1525050388634391,0.1608790275194664,0.1344811064002511,0.1209872742057994,29,19
冶金工程,0.3464752606321364,0.3190882012245573,0.0776104583815985,0.0316895581664736,0.0270560979645871,0.198080423630647,19,2
纺织工程,0.3463251198100004,0.311463590483057,0.0566181771915687,0.0438101700665846,0.0245133381398702,0.2172696043089189,19,2
生物学,0.3076272891929965,0.3527067820487019,0.0497081907828536,0.0397665526262829,0.0315556449989937,0.218635540350171,14,29
社会学,0.190690640228533,0.2280289027054276,0.0452024869769786,0.2945723407830616,0.0219794992438245,0.2195261300621744,7,7
环境科学,0.1969142857142857,0.3310857142857143,0.0836,0.1573142857142857,0.0832571428571428,0.1478285714285714,0,17
服装设计,0.1196179208688906,0.1355217222653219,0.3862975174553918,0.125,0.1731477889837083,0.0604150504266873,1,3
物流管理,0.2082695252679938,0.165677641653905,0.0590543644716692,0.1218415007656967,0.170750382848392,0.274406584992343,9,21
市场营销,0.0574659159648224,0.1142803964450235,0.158764133823461,0.2239076822856079,0.3221348471453167,0.1234470243357684,25,1
城市规划,0.1690950540192288,0.2316879770046585,0.1147784716027356,0.1822777282188522,0.1162652393696104,0.1858955297849142,0,22
景观设计,0.2222222222222222,0.1777777777777777,0.2666666666666666,0.1333333333333333,0.1111111111111111,0.0888888888888888,10,12
建筑学,0.2307692307692307,0.1923076923076923,0.2115384615384615,0.1153846153846153,0.1538461538461538,0.0961538461538461,20,23
人力资源管理,0.1739130434782609,0.0869565217391304,0.0434782608695652,0.2608695652173913,0.3043478260869565,0.1304347826086956,23,10
放射学,0.3749999999999999,0.3125,0.0625,0.125,0.03125,0.0937499999999999,3,15
食品学,0.238095238095238,0.1904761904761904,0.0952380952380952,0.1428571428571428,0.2857142857142857,0.0476190476190476,11,13
交通管理,0.217391304347826,0.1739130434782608,0.0869565217391304,0.1304347826086956,0.217391304347826,0.1739130434782608,18,4
考古学,0.24,0.2799999999999999,0.12,0.16,0.08,0.12,23,28
哲学,0.0526315789473684,0.4210526315789473,0.2105263157894736,0.1578947368421052,0.0526315789473684,0.1052631578947368,28,20
广告学,0.12,0.12,0.2799999999999999,0.16,0.24,0.08,2,14
电气工程,0.2592592592592592,0.2222222222222222,0.074074074074074,0.1111111111111111,0.1481481481481481,0.1851851851851852,0,24
轻化工程,0.24,0.2,0.12,0.08,0.16,0.2,0,18
物流工程,0.24,0.16,0.08,0.12,0.2,0.2,4,4
